,presence/absence of camera_cuts
330,1.0
331,0.9808696480178478
332,0.7640251364965555
333,0.5922471483069669
334,0.6948094155090705
335,0.8583096057502295
336,0.9650257511840805
337,0.998143519750933
338,0.7996996689015023
339,0.6271137781860967
340,0.7206063056384943
341,0.8741940829814814
342,0.9735139167535226
343,1.021313234428225
344,1.0374183101441197
345,1.0355592225025259
346,1.0260498848596848
347,1.0158844772312519
348,1.008488165569442
349,1.0040393626951398
350,1.001743777739173
351,1.0006925926233963
352,1.0002529947302612
353,1.0
354,0.9808696480178478
355,0.7448947845144032
356,0.33714193282137006
357,0.05108170031259293
358,0.14536616956626713
359,0.5181447724433808
360,0.8406092286673955
361,0.9988438033399603
362,0.8518401705137173
363,0.6885852007204671
364,0.7713574127488758
365,0.908479138680347
366,0.9934377566799142
367,1.03154517773684
368,1.0421502654626558
369,1.0375559949719602
370,1.026742477483081
371,1.0161374719615128
372,1.008488165569442
373,1.0040393626951398
374,1.001743777739173
375,1.0006925926233963
376,1.0002529947302612
377,1.0
378,1.0
379,1.0
380,1.0
381,1.0
382,1.0
383,1.0
384,1.0
385,1.0
386,1.0
387,1.0
388,1.0
